# a  alpha_K  alpha_B  alpha_M  alpha_T
2.040809151234485475e-04 3.963475640000000194e-21 1.007385310000000060e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.082119513943176054e-04 4.243133140000000111e-21 1.078465059999999967e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.124266087164781720e-04 4.542097479999999994e-21 1.154451969999999943e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.167265797597017654e-04 4.861688530000000116e-21 1.235681520000000046e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.211135914570330307e-04 5.203296410000000080e-21 1.322507020000000074e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.255894056983525145e-04 5.568402600000000310e-21 1.415305019999999981e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.301558200379779599e-04 5.958562349999999685e-21 1.514470810000000092e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.348149032313754270e-04 6.375477899999999774e-21 1.620437049999999991e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.395680614657089136e-04 6.820941000000000106e-21 1.733659140000000092e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.444174338367505151e-04 7.296860380000000275e-21 1.854622210000000105e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.493649679253814671e-04 7.805269260000000425e-21 1.983843049999999888e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.544126507357051515e-04 8.348300440000000506e-21 2.121863730000000096e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.595625094930578431e-04 8.928323410000000216e-21 2.269286520000000068e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.648166124581729564e-04 9.547763550000000443e-21 2.426727860000000063e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.701770697578255724e-04 1.020923600000000046e-20 2.594852410000000155e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.756460342322913145e-04 1.091552500000000013e-20 2.774367880000000010e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.812257022999589836e-04 1.166959490000000018e-20 2.966027670000000115e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.869183148394456313e-04 1.247464990000000059e-20 3.170646210000000009e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.927261580895673047e-04 1.333400659999999968e-20 3.389066470000000213e-21 0.000000000000000000e+00 0.000000000000000000e+00
2.986518632192387487e-04 1.425124069999999885e-20 3.622197240000000069e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.046972187027482807e-04 1.523015729999999871e-20 3.871005689999999729e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.108649451720875119e-04 1.627486929999999944e-20 4.136537160000000093e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.171575196789720957e-04 1.738969849999999859e-20 4.419890119999999766e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.235774694159675993e-04 1.857917149999999916e-20 4.722215089999999903e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.301273727314481287e-04 1.984816760000000015e-20 5.044752209999999974e-21 0.000000000000000000e+00 0.000000000000000000e+00
3.368098601650976035e-04 2.120195990000000048e-20 5.388841740000000212e-21 0.000000000000000000e+00 0.000000000000000000e+00
