# weight H0_light H0_matter omega_cdm logA F_arithmetic F_weighted
1.000000000000000000e+00 6.545559500000000241e+01 7.236221699340669034e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.890890599670333927e+01 6.556465805671754765e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.307792147384476777e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.926675823692238509e+01 6.557595980718507178e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.348543149367912974e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.947051324683957318e+01 6.558239483265029435e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.252974308849536555e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.899266904424769109e+01 6.556730347556742799e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.303283947810108145e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.924421723905054193e+01 6.557524791354686045e+01
1.000000000000000000e+00 6.545559500000000241e+01 7.066988548279536531e+01 1.200004499999999946e-01 3.120265900000000148e+00 6.806274024139767675e+01 6.553793430555484179e+01
1.000000000000000000e+00 6.601725199999999916e+01 7.260765725998555808e+01 1.180212100000000014e-01 3.125588500000000103e+00 6.931245462999277152e+01 6.612132165132125294e+01
1.000000000000000000e+00 6.603587100000000021e+01 7.114297411805891613e+01 1.179648900000000028e-01 3.119790899999999922e+00 6.858942255902945817e+01 6.611651770074008994e+01
1.000000000000000000e+00 6.603587100000000021e+01 7.098996712328941783e+01 1.179648900000000028e-01 3.119790899999999922e+00 6.851291906164470902e+01 6.611410155424117363e+01
1.000000000000000000e+00 6.548743699999999990e+01 7.335302561289842060e+01 1.190252499999999991e-01 2.943614600000000081e+00 6.942023130644921025e+01 6.561164318036202303e+01
1.000000000000000000e+00 6.548743699999999990e+01 6.947673753389975104e+01 1.190252499999999991e-01 2.943614600000000081e+00 6.748208726694987547e+01 6.555043238483608548e+01
1.000000000000000000e+00 6.548743699999999990e+01 7.180851510710678554e+01 1.190252499999999991e-01 2.943614600000000081e+00 6.864797605355339272e+01 6.558725368328880734e+01
1.000000000000000000e+00 6.554033699999999385e+01 7.479482903789825343e+01 1.190323300000000056e-01 2.990251400000000004e+00 7.016758301894913075e+01 6.568647547275628540e+01
1.000000000000000000e+00 6.554033699999999385e+01 7.231696291924609454e+01 1.190323300000000056e-01 2.990251400000000004e+00 6.892864995962304420e+01 6.564734727762774469e+01
1.000000000000000000e+00 6.554033699999999385e+01 7.233158873873431105e+01 1.190323300000000056e-01 2.990251400000000004e+00 6.893596286936715956e+01 6.564757823519019553e+01
1.000000000000000000e+00 6.645979400000000226e+01 7.366067918712148810e+01 1.168366599999999950e-01 2.938783400000000157e+00 7.006023659356074518e+01 6.657350379189672651e+01
1.000000000000000000e+00 6.645979400000000226e+01 7.357785093024502032e+01 1.168366599999999950e-01 2.938783400000000157e+00 7.001882246512251129e+01 6.657219584383091160e+01
1.000000000000000000e+00 6.645979400000000226e+01 7.091235878606143217e+01 1.168366599999999950e-01 2.938783400000000157e+00 6.868607639303071721e+01 6.653010483013727594e+01
1.000000000000000000e+00 6.574107300000000009e+01 7.152276763788970015e+01 1.189700999999999953e-01 2.895138100000000048e+00 6.863192031894485012e+01 6.583237223294162277e+01
1.000000000000000000e+00 6.574107300000000009e+01 7.117701759756968727e+01 1.189700999999999953e-01 2.895138100000000048e+00 6.845904529878484368e+01 6.582691246457822842e+01
1.000000000000000000e+00 6.574107300000000009e+01 7.281989354158126559e+01 1.189700999999999953e-01 2.895138100000000048e+00 6.928048327079062574e+01 6.585285525867244871e+01
1.000000000000000000e+00 6.574107300000000009e+01 7.322096258312562611e+01 1.189700999999999953e-01 2.895138100000000048e+00 6.948101779156280600e+01 6.585918857410037219e+01
1.000000000000000000e+00 6.574108900000000233e+01 7.177927298300539860e+01 1.189686199999999971e-01 2.896125099999999897e+00 6.876018099150269336e+01 6.583643847805717542e+01
1.000000000000000000e+00 6.574108900000000233e+01 7.192255744384058858e+01 1.189686199999999971e-01 2.896125099999999897e+00 6.883182322192030256e+01 6.583870109519385494e+01
1.000000000000000000e+00 6.574108900000000233e+01 7.138145330925145515e+01 1.189686199999999971e-01 2.896125099999999897e+00 6.856127115462572874e+01 6.583015647367307110e+01
2.000000000000000000e+00 6.574108900000000233e+01 7.154979162813036453e+01 1.189686199999999971e-01 2.896125099999999897e+00 6.864544031406518343e+01 6.583281471841806365e+01
1.000000000000000000e+00 6.580279400000000578e+01 7.284616580333297975e+01 1.189309499999999936e-01 2.894037500000000041e+00 6.932447990166649276e+01 6.591401648462462504e+01
1.000000000000000000e+00 6.580279400000000578e+01 7.205708996036409530e+01 1.189309499999999936e-01 2.894037500000000041e+00 6.892994198018205054e+01 6.590155612071613689e+01
1.000000000000000000e+00 6.580279400000000578e+01 7.489602430944539435e+01 1.189309499999999936e-01 2.894037500000000041e+00 7.034940915472270717e+01 6.594638597505402799e+01
1.000000000000000000e+00 6.580279400000000578e+01 7.360816668741419733e+01 1.189309499999999936e-01 2.894037500000000041e+00 6.970548034370710866e+01 6.592604930554905707e+01
1.000000000000000000e+00 6.580279400000000578e+01 7.427613405953655956e+01 1.189309499999999936e-01 2.894037500000000041e+00 7.003946402976828267e+01 6.593659723526937455e+01
1.000000000000000000e+00 6.577931300000000192e+01 7.545346790700968143e+01 1.189257100000000039e-01 2.879048399999999841e+00 7.061639045350483457e+01 6.593207840490050842e+01
1.000000000000000000e+00 6.577931300000000192e+01 7.155548436905577603e+01 1.189257100000000039e-01 2.879048399999999841e+00 6.866739868452788187e+01 6.587052501453257491e+01
